median_age,Zip Code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,Per Capita Income,median_rent,ALAND10,AWATER10,CITY,AREA
47.8,5250,3557,96,1,0,2,32316,832,237183751,805247,ARLINGTON,131.23222
54.1,5251,1392,99,0,0,0,41107,1003,90412266,126680,DORSET,34.52505
55.1,5252,286,97,0,0,1,36269,NA,100844417,672750,EAST ARLINGTON,0.84122
44.3,5253,668,98,0,0,1,29055,733,34000318,207006,EAST DORSET,11.22549
45.7,5255,4051,96,0,0,2,35424,820,102086697,282816,MANCHESTER CENTER,42.24926
33.4,5257,2697,92,1,1,2,24277,720,32887838,250438,NORTH BENNINGTON,5.8941
28.5,5260,458,100,0,0,0,22143,820,24920360,251838,NORTH POWNAL,4.91953
45,5261,2835,95,0,0,0,25144,771,83109539,450428,POWNAL,28.86342
50.4,5262,2676,98,0,1,1,34664,762,197254049,187981,SHAFTSBURY,37.90601
44.1,5301,16819,93,1,2,2,28510,679,388097084,3634601,BRATTLEBORO,151.80919
53.3,5340,686,97,1,0,2,48258,825,112749386,1226764,BONDVILLE,41.87316
54.5,5341,478,96,0,0,3,30718,790,34027326,51058,EAST DOVER,6.47225
43.4,5342,479,99,0,0,1,27367,766,39459872,283553,JACKSONVILLE,17.57435
45.1,5343,837,98,0,0,0,21547,736,116791437,1378302,JAMAICA,40.0298
45.1,5343,837,98,0,0,0,21547,736,116791437,1378302,JAMAICA,40.0298
48,5345,2236,98,0,0,2,28220,781,129882299,799011,NEWFANE,30.92225
43.4,5346,5002,95,1,0,2,30546,715,177971360,681882,PUTNEY,72.92086
49.8,5350,726,98,0,0,1,25097,376,94088475,386495,READSBORO,37.05561
49.8,5352,887,98,0,0,2,27588,700,102314648,300271,STAMFORD,39.28924
53.2,5353,944,94,1,0,2,39200,695,95176769,1151640,TOWNSHEND,37.10282
45.4,5354,2044,95,1,1,2,30675,691,50375960,1595398,VERNON,19.97282
48.1,5355,617,90,2,0,1,20705,514,70978855,83277,WARDSBORO,27.89626
48.2,5356,862,95,1,0,3,35799,703,57261223,173253,WEST DOVER,57.96754
