town,type,gross,past_gross,past_use,use
WHITINGHAM,Sales and Use,5997576.79,6300178.359999999,214071.33333333343,89498.00000000003
WILLIAMSTOWN,Meals and Rooms,15486610.56,14757022.49,0.0,0.0
WILLIAMSTOWN,Meals and Rooms,15827575.51,15487851.63,0.0,0.0
WILLIAMSTOWN,Sales and Use,19658161.54,18783008.96,0.0,0.0
WILLISTON,Meals and Rooms,852485118.38,832151127.0699999,16480055.166666668,17935585.333333332
WILLISTON,Meals and Rooms,819425220.0799999,856112041.71,17951832.5,17233500.0
WILLISTON,Sales and Use,1009120191.38,1090837180.8600001,19267062.166666675,18870337.833333332
WILMINGTON,Meals and Rooms,47698264.28,54886715.89,0.0,0.0
WILMINGTON,Meals and Rooms,44206419.28,47880325.89,0.0,0.0
WILMINGTON,Sales and Use,55860822.9,60285480.92,96398.99999999999,140254.16666666674
WINDSOR,Meals and Rooms,30950910.94,32913799.36,82838.8333333334,317820.3333333335
WINDSOR,Meals and Rooms,31457192.48,30988400.94,317820.3333333335,281754.8333333333
WINDSOR,Sales and Use,37379310.5,36224486.21,502983.83333333314,523035.1666666667
WINHALL,Meals and Rooms,8540014.27,7430750.0600000005,0.0,0.0
WINHALL,Meals and Rooms,10853208.82,8540014.27,0.0,0.0
WINHALL,Sales and Use,11132377.219999999,11199513.93,0.0,0.0
WINOOSKI,Meals and Rooms,103796462.27000001,178496579.9,3825911.6666666674,2653997.333333333
WINOOSKI,Meals and Rooms,66111527.72,103717486.41,2653970.333333333,0.0
WINOOSKI,Sales and Use,167509276.79,238628449.64,4173726.0000000014,3612230.5000000005
WOLCOTT,Meals and Rooms,1284774.2,2866380.29,0.0,0.0
WOLCOTT,Meals and Rooms,3380747.0700000003,2917292.48,0.0,0.0
WOLCOTT,Sales and Use,6623062.2,11001636.27,0.0,0.0
WOODSTOCK,Meals and Rooms,75543617.18,74870639.07,1626191.5,1563750.5000000002
WOODSTOCK,Meals and Rooms,72198322.81,75625205.99,1564521.5,1511285.9999999995
WOODSTOCK,Sales and Use,85243444.27,88853955.36,1709257.0000000005,1686551.6666666672
WORCESTER,Sales and Use,1127846.85,613074.55,0.0,0.0
