town,type,gross,past_gross,past_use,use
CORNWALL,Sales and Use,2829416.4,4328335.72,0.0,0.0
COVENTRY,Sales and Use,2006118.32,7910780.27,0.0,0.0
CRAFTSBURY,Meals and Rooms,5778115.17,4911488.28,0.0,0.0
CRAFTSBURY,Meals and Rooms,5853783.02,5778115.17,0.0,0.0
CRAFTSBURY,Sales and Use,6914222.89,6327853.7,0.0,0.0
DANBY,Meals and Rooms,0.0,11035063.89,0.0,0.0
DANBY,Meals and Rooms,0.0,374852.61,0.0,0.0
DANBY,Sales and Use,12321393.530000001,11932523.06,0.0,0.0
DANVILLE,Meals and Rooms,9386941.45,8402154.94,0.0,0.0
DANVILLE,Meals and Rooms,10218845.65,9386941.45,0.0,0.0
DANVILLE,Sales and Use,15185155.020000001,12840703.18,0.0,0.0
DERBY,Meals and Rooms,253740564.02,224346647.5,1228574.6666666665,1192280.4999999995
DERBY,Meals and Rooms,260431705.41,251938868.64,1199147.5,1362900.8333333335
DERBY,Sales and Use,268351129.14,259609906.13,1291550.8333333333,1426028.0000000007
DORSET,Meals and Rooms,22247547.65,20873865.71,0.0,0.0
DORSET,Meals and Rooms,21589048.43,22247547.65,0.0,0.0
DORSET,Sales and Use,28610463.25,29558953.689999998,92606.33333333336,0.0
DOVER,Meals and Rooms,43997211.7,32630412.6,0.0,0.0
DOVER,Meals and Rooms,38672420.41,43997211.7,0.0,0.0
DOVER,Sales and Use,44066506.6,48179274.120000005,0.0,0.0
DUMMERSTON,Meals and Rooms,14743163.129999999,9214073.42,0.0,0.0
DUMMERSTON,Meals and Rooms,15746386.58,14743163.129999999,0.0,0.0
DUMMERSTON,Sales and Use,21024065.0,19940324.06,0.0,99732.5
DUXBURY,Sales and Use,2154221.7,2044424.04,0.0,0.0
EAST MONTPELIER,Meals and Rooms,55895956.3,49196359.81,0.0,279969.0
EAST MONTPELIER,Meals and Rooms,50705870.19,55902157.5,279969.0,133208.33333333334
EAST MONTPELIER,Sales and Use,52877873.22,57531209.71,868290.4999999998,819337.5000000001
EDEN,Sales and Use,5095894.83,4759724.07,0.0,0.0
ESSEX,Meals and Rooms,517254879.72,469247243.15,5289129.33333333,3191509.0
ESSEX,Meals and Rooms,518724042.72,517975032.51,3196871.5,2663139.1666666665
ESSEX,Sales and Use,615150699.63,600489243.11,3591784.0,2951180.6666666665
FAIR HAVEN,Meals and Rooms,75175073.58,68422686.92,0.0,0.0
FAIR HAVEN,Meals and Rooms,70134653.52,75176373.58,0.0,0.0
FAIR HAVEN,Sales and Use,70778189.65,76178444.17,0.0,0.0
FAIRFAX,Meals and Rooms,27326151.21,27722014.39,0.0,0.0
FAIRFAX,Meals and Rooms,36209673.57,36088044.68,0.0,0.0
FAIRFAX,Sales and Use,43328285.01,42769819.94,0.0,0.0
FAIRFIELD,Meals and Rooms,546077.91,0.0,0.0,0.0
FAIRFIELD,Sales and Use,7584050.83,8436229.69,0.0,0.0
FAIRLEE,Meals and Rooms,13151802.77,13223163.33,0.0,0.0
FAIRLEE,Meals and Rooms,14361234.870000001,13203351.67,0.0,0.0
FAIRLEE,Sales and Use,45856121.46,44369902.2,152432.33333333343,122069.5
FERRISBURGH,Meals and Rooms,24212389.11,20957689.39,0.0,0.0
FERRISBURGH,Meals and Rooms,24181265.68,24214574.61,0.0,0.0
FERRISBURGH,Sales and Use,24962321.59,25018418.29,0.0,0.0
FRANKLIN,Sales and Use,0.0,6508717.58,0.0,0.0
GEORGIA,Meals and Rooms,22865983.22,20429920.64,0.0,0.0
GEORGIA,Meals and Rooms,12957261.63,13638540.91,0.0,0.0
GEORGIA,Sales and Use,13529024.74,14279443.31,0.0,0.0
GLOVER,Sales and Use,675103.73,0.0,0.0,0.0
GRAFTON,Sales and Use,0.0,869233.71,0.0,0.0
GRAND ISLE,Meals and Rooms,706528.03,0.0,0.0,0.0
GRAND ISLE,Meals and Rooms,385078.1,1654369.27,0.0,0.0
GRAND ISLE,Sales and Use,6133162.92,9326647.18,0.0,0.0
GREENSBORO,Sales and Use,13608199.82,12021653.52,0.0,0.0
